tree_id,trunk_diam,status,health,spc_common,neighborhood
422712,20,Alive,Good,pin oak,Cypress Hills-City Line
67147,3,Alive,Fair,American elm,BK41
361473,2,Alive,Good,eastern redbud,Pelham Bay-Country Club-City Island
316700,2,Alive,Good,swamp white oak,Annadale-Huguenot-Prince's Bay-Eltingville
95888,8,Alive,Poor,Sophora,Bay Ridge
657033,8,Alive,Fair,sycamore maple,Murray Hill
645497,9,Alive,Good,Japanese zelkova,Woodhaven
415796,21,Alive,Fair,catalpa,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
248655,4,Alive,Good,pin oak,Ocean Parkway South
278295,30,Alive,Good,London planetree,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
112100,11,Alive,Good,cherry,Woodlawn-Wakefield
341904,11,Alive,Good,Amur maple,Murray Hill
715325,10,Alive,Good,littleleaf linden,Richmond Hill
586042,14,Alive,Good,sweetgum,Great Kills
140027,6,Alive,Good,pin oak,Lincoln Square
494803,7,Alive,Good,purple-leaf plum,New Springville-Bloomfield-Travis
319831,11,Alive,Good,littleleaf linden,Whitestone
718096,5,Alive,Good,honeylocust,South Jamaica
669989,16,Alive,Fair,Callery pear,College Point
346460,10,Alive,Good,honeylocust,Allerton-Pelham Gardens
538296,32,Alive,Good,London planetree,Middle Village
275132,16,Alive,Good,honeylocust,Queensbridge-Ravenswood-Long Island City
196707,30,Alive,Good,London planetree,BK43
154050,3,Alive,Fair,black locust,New Dorp-Midland Beach
389938,19,Alive,Good,Norway maple,Rosedale
292714,11,Alive,Good,ginkgo,West Village
154300,10,Alive,Good,cherry,Springfield Gardens South-Brookville
433137,25,Alive,Good,London planetree,Soundview-Castle Hill-Clason Point-Harding Park
65399,2,Alive,Good,littleleaf linden,Spuyten Duyvil-Kingsbridge
539039,14,Alive,Good,Callery pear,Middle Village
538634,6,Alive,Good,purple-leaf plum,Todt Hill-Emerson Hill-Heartland Village-Lighthous
17570,7,Alive,Good,Kentucky coffeetree,Grymes Hill-Clifton-Fox Hills
355763,25,Alive,Good,green ash,Oakland Gardens
476754,11,Alive,Fair,honeylocust,Bushwick South
358312,5,Alive,Good,Japanese zelkova,East New York
310051,4,Alive,Good,Japanese zelkova,Westchester-Unionport
203610,6,Alive,Good,Amur maackia,Forest Hills
26967,4,Alive,Fair,London planetree,Rego Park
361769,6,Alive,Good,cucumber magnolia,Homecrest
493409,28,Alive,Good,London planetree,Norwood
670457,3,Alive,Good,cherry,College Point
556984,2,Alive,Good,ginkgo,Bronxdale
105798,11,Alive,Fair,crab apple,QN50
250017,5,Alive,Fair,silver maple,East New York
216987,16,Alive,Good,ginkgo,Bay Ridge
597706,7,Alive,Good,Amur maackia,Whitestone
50331,9,Alive,Good,Japanese zelkova,Ridgewood
48905,4,Alive,Good,white oak,Hudson Yards-Chelsea-Flatiron-Union Square
722231,4,Alive,Good,cherry,South Ozone Park
517799,8,Alive,Good,maple,Charleston-Richmond Valley-Tottenville
428325,2,Alive,Good,hardy rubber tree,East Tremont
138385,4,Alive,Good,cherry,College Point
321820,12,Alive,Good,crab apple,Auburndale
575302,4,Alive,Good,red maple,Forest Hills
573858,4,Alive,Good,American linden,North Corona
209710,9,Alive,Good,Callery pear,New Springville-Bloomfield-Travis
412614,5,Alive,Good,shingle oak,Richmond Hill
122257,10,Alive,Good,crab apple,Upper East Side-Carnegie Hill
434907,3,Alive,Good,arborvitae,Grasmere-Arrochar-Ft. Wadsworth
508885,8,Alive,Good,littleleaf linden,Soundview-Bruckner
132142,13,Alive,Good,Amur maple,Pomonok-Flushing Heights-Hillcrest
635527,14,Alive,Good,London planetree,Fresh Meadows-Utopia
40719,12,Alive,Good,ginkgo,Upper East Side-Carnegie Hill
345727,11,Alive,Good,crimson king maple,West Farms-Bronx River
209248,3,Alive,Good,Japanese tree lilac,Steinway
350810,25,Alive,Good,London planetree,Williamsbridge-Olinville
425392,4,Dead,,,Claremont-Bathgate
687601,47,Alive,Good,London planetree,Murray Hill
303863,14,Alive,Good,littleleaf linden,Crown Heights North
481165,7,Alive,Good,scarlet oak,Stuyvesant Heights
452854,5,Alive,Good,pin oak,Canarsie
69068,9,Alive,Fair,Sophora,Crown Heights North
288030,24,Alive,Fair,Norway maple,QN34
588610,6,Alive,Good,pin oak,Rosedale
479331,2,Alive,Good,red maple,University Heights-Morris Heights
685700,23,Alive,Good,London planetree,Georgetown-Marine Park-Bergen Beach-Mill Basin
667200,5,Alive,Good,Callery pear,Todt Hill-Emerson Hill-Heartland Village-Lighthous
650738,4,Alive,Good,Japanese zelkova,Woodhaven
410040,10,Alive,Fair,Japanese zelkova,West New Brighton-New Brighton-St. George
618545,9,Alive,Good,crimson king maple,Bay Ridge
655419,13,Alive,Good,Chinese elm,Hollis
541569,21,Alive,Good,London planetree,Baisley Park
14018,7,Alive,Good,Callery pear,Washington Heights North
66409,0,Stump,,,New Springville-Bloomfield-Travis
288820,3,Alive,Fair,Chinese elm,Madison
700571,23,Alive,Good,London planetree,Lindenwood-Howard Beach
622764,2,Alive,Good,eastern redbud,South Ozone Park
316295,3,Alive,Poor,northern red oak,Washington Heights North
548501,15,Alive,Good,Callery pear,50
697106,18,Alive,Fair,Norway maple,Murray Hill
637036,24,Alive,Good,London planetree,Richmond Hill
361631,5,Alive,Good,pin oak,Charleston-Richmond Valley-Tottenville
197726,3,Alive,Fair,serviceberry,Morrisania-Melrose
125469,8,Alive,Good,American linden,East Harlem North
483445,15,Alive,Good,London planetree,Port Richmond
91275,11,Alive,Good,green ash,Brooklyn Heights-Cobble Hill
330756,7,Alive,Good,Callery pear,Rossville-Woodrow
121312,11,Alive,Good,green ash,BK32
202160,2,Dead,,,East Williamsburg
588993,8,Alive,Good,red maple,Arden Heights
638168,5,Alive,Good,Callery pear,Douglas Manor-Douglaston-Little Neck
160866,14,Alive,Good,Callery pear,West Village
163038,3,Alive,Good,mulberry,New Dorp-Midland Beach
501835,5,Alive,Good,cherry,Soundview-Bruckner
413880,3,Alive,Good,bald cypress,East New York
242724,17,Alive,Good,Norway maple,Ocean Parkway South
696137,2,Alive,Good,cherry,Whitestone
675286,14,Alive,Good,Norway maple,Maspeth
652859,6,Alive,Good,Callery pear,Springfield Gardens South-Brookville
59509,8,Alive,Good,cherry,College Point
694331,6,Alive,Good,cherry,South Jamaica
639862,3,Alive,Good,European hornbeam,College Point
690200,27,Alive,Fair,London planetree,Canarsie
257932,2,Alive,Good,swamp white oak,Lindenwood-Howard Beach
538741,25,Alive,Good,honeylocust,Elmhurst
629034,2,Alive,Good,American elm,Bushwick North
637280,13,Alive,Good,sweetgum,Ft. Totten-Bay Terrace-Clearview
590623,16,Alive,Good,Norway maple,Glen Oaks-Floral Park-New Hyde Park
253174,6,Alive,Good,Japanese zelkova,East Concourse-Concourse Village
149176,4,Alive,Good,Japanese zelkova,MN31
240270,3,Alive,Good,honeylocust,Turtle Bay-East Midtown
108236,4,Alive,Fair,flowering dogwood,Ridgewood
204341,25,Alive,Good,London planetree,Brownsville
120226,5,Alive,Poor,Callery pear,Charleston-Richmond Valley-Tottenville
372068,20,Alive,Good,Norway maple,Steinway
251932,37,Alive,Good,London planetree,Pelham Parkway
634561,31,Alive,Good,pin oak,Fresh Meadows-Utopia
669748,33,Alive,Good,London planetree,Oakland Gardens
381415,5,Alive,Good,crab apple,Pelham Bay-Country Club-City Island
61967,22,Alive,Good,Japanese zelkova,Flatbush
243664,24,Alive,Good,London planetree,Bayside-Bayside Hills
676734,6,Alive,Good,Atlas cedar,Flatlands
361646,11,Alive,Good,honeylocust,Madison
65612,6,Alive,Poor,purple-leaf plum,Fresh Meadows-Utopia
600939,5,Alive,Good,Japanese zelkova,Auburndale
692888,11,Alive,Good,Norway maple,Kew Gardens Hills
509702,15,Alive,Good,green ash,Pelham Parkway
289912,19,Alive,Good,London planetree,Forest Hills
260274,5,Alive,Fair,black locust,Van Cortlandt Village
502126,6,Dead,,,West Farms-Bronx River
623100,9,Alive,Good,littleleaf linden,Borough Park
692162,25,Alive,Good,London planetree,58
16992,10,Alive,Good,honeylocust,Upper East Side-Carnegie Hill
250279,16,Alive,Good,honeylocust,Mott Haven-Port Morris
483940,4,Alive,Good,red maple,North Riverdale-Fieldston-Riverdale
25549,3,Alive,Good,eastern redcedar,Woodlawn-Wakefield
717465,32,Alive,Fair,London planetree,QN19
245772,4,Alive,Good,American linden,Glen Oaks-Floral Park-New Hyde Park
691724,1,Alive,Good,Kentucky coffeetree,Stuyvesant Heights
400811,4,Alive,Good,dawn redwood,Sunset Park East
25202,6,Alive,Good,Callery pear,Hudson Yards-Chelsea-Flatiron-Union Square
440085,2,Alive,Fair,ginkgo,Kew Gardens Hills
517548,7,Alive,Good,Callery pear,Charleston-Richmond Valley-Tottenville
86628,18,Alive,Good,honeylocust,Douglas Manor-Douglaston-Little Neck
398101,19,Alive,Good,London planetree,Grasmere-Arrochar-Ft. Wadsworth
542729,26,Alive,Good,London planetree,BK58
434504,11,Alive,Good,dawn redwood,East New York
319098,4,Alive,Good,honeylocust,Cypress Hills-City Line
105423,8,Dead,,,Todt Hill-Emerson Hill-Heartland Village-Lighthous
108944,13,Alive,Fair,cherry,Clinton Hill
685647,19,Alive,Good,Norway maple,Dyker Heights
645700,4,Alive,Fair,serviceberry,Woodhaven
64311,18,Alive,Good,ginkgo,Hamilton Heights
644550,4,Alive,Good,London planetree,Richmond Hill
432383,4,Alive,Good,ginkgo,East New York
338315,11,Alive,Fair,crimson king maple,Homecrest
408788,23,Alive,Good,willow oak,Woodside
485270,6,Alive,Fair,honeylocust,Sunset Park West
692815,31,Alive,Good,London planetree,Ft. Totten-Bay Terrace-Clearview
696488,6,Alive,Fair,London planetree,Kew Gardens Hills
48782,18,Alive,Good,London planetree,Park Slope-Gowanus
440113,2,Dead,,,Borough Park
648419,6,Alive,Good,Japanese zelkova,Auburndale
428687,15,Alive,Fair,Callery pear,Seagate-Coney Island
660422,19,Alive,Good,honeylocust,East Flushing
369200,25,Alive,Fair,Callery pear,Laurelton
380935,29,Alive,Good,Norway maple,Borough Park
212630,37,Alive,Good,London planetree,Forest Hills
270613,2,Alive,Good,southern red oak,Sunset Park West
107636,35,Alive,Fair,London planetree,Bay Ridge
192502,5,Alive,Good,Callery pear,West Village
508456,11,Alive,Fair,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville
161305,13,Alive,Fair,littleleaf linden,Todt Hill-Emerson Hill-Heartland Village-Lighthous
384371,27,Alive,Good,London planetree,Homecrest
255797,8,Alive,Fair,Callery pear,Charleston-Richmond Valley-Tottenville
194073,5,Alive,Good,littleleaf linden,Ocean Parkway South
224513,37,Alive,Fair,littleleaf linden,Midwood
478207,5,Alive,Good,London planetree,Port Richmond
152164,7,Alive,Good,honeylocust,Turtle Bay-East Midtown
446724,4,Alive,Poor,silver linden,Lindenwood-Howard Beach
108948,3,Alive,Good,Chinese chestnut,Clinton Hill
295900,31,Alive,Good,pin oak,Port Richmond
667304,18,Alive,Fair,honeylocust,Jamaica
146046,4,Alive,Fair,Japanese hornbeam,St. Albans
618004,2,Alive,Good,ginkgo,Crown Heights South
417808,10,Alive,Good,Callery pear,Whitestone
603632,13,Alive,Good,green ash,St. Albans
128534,5,Alive,Good,silver linden,Crown Heights North
142381,15,Alive,Good,silver maple,Park Slope-Gowanus
611083,26,Alive,Good,London planetree,Pomonok-Flushing Heights-Hillcrest
65592,7,Alive,Fair,honeylocust,Fresh Meadows-Utopia
299181,12,Alive,Fair,pin oak,Great Kills
337020,2,Dead,,,Queensbridge-Ravenswood-Long Island City
392229,25,Alive,Good,pin oak,Pelham Parkway
193518,11,Alive,Fair,London planetree,Hunters Point-Sunnyside-West Maspeth
441112,12,Alive,Good,pin oak,Old Town-Dongan Hills-South Beach
690969,24,Alive,Good,Norway maple,Ft. Totten-Bay Terrace-Clearview
665785,17,Alive,Good,red maple,St. Albans
148773,9,Alive,Good,Callery pear,QN20
97645,6,Alive,Good,Callery pear,Brooklyn Heights-Cobble Hill
169655,19,Alive,Good,pin oak,40
522325,10,Alive,Good,Norway maple,Elmhurst-Maspeth
338454,3,Alive,Good,swamp white oak,Van Nest-Morris Park-Westchester Square
298310,13,Alive,Good,honeylocust,Upper East Side-Carnegie Hill
114811,5,Alive,Poor,cherry,BK76
141995,28,Alive,Good,Sophora,QN72
263352,5,Alive,Good,European hornbeam,BK61
536319,10,Alive,Good,Callery pear,Great Kills
578872,12,Alive,Good,cherry,Rossville-Woodrow
207723,12,Alive,Good,littleleaf linden,Gravesend
173943,6,Alive,Good,white oak,Old Town-Dongan Hills-South Beach
